path,label,generator,score_mean,score_std,score_min,score_max,score_range,classification_flip
data/aigc_stage_a/ADM/000001.png,1,ADM,0.4531383111281988,0.07845725516256583,0.3940470929378571,0.5871295566554544,0.1930824637175973,1
data/aigc_stage_a/ADM/000171.png,1,ADM,0.9618918112171848,0.0064594249197991544,0.955728589291542,0.9706751192346422,0.014946529943100195,0
data/aigc_stage_a/ADM/000613.png,1,ADM,0.41370501387156694,0.14266339851016926,0.2737394449310699,0.6135841225723757,0.3398446776413058,1
data/aigc_stage_a/ADM/000647.png,1,ADM,0.9738890067087083,0.011937382737680885,0.9569431988934076,0.9867284553067781,0.029785256413370487,0
data/aigc_stage_a/ADM/000681.png,1,ADM,0.9618614047707427,0.018072800217909232,0.9410336179086521,0.9822707111943131,0.04123709328566094,0
data/aigc_stage_a/BigGAN/000003.jpg,1,BigGAN,0.5480323352347358,0.14384402776108407,0.37679336768060134,0.7105667147351703,0.33377334705456896,1
data/aigc_stage_a/BigGAN/000173.jpg,1,BigGAN,0.13976521239094897,0.031613925129867264,0.08607195868724697,0.16490501089118917,0.0788330522039422,0
data/aigc_stage_a/BigGAN/000615.jpg,1,BigGAN,0.9989807685059656,0.00032720742926176376,0.9986700006329627,0.9994702992331762,0.0008002986002134671,0
data/aigc_stage_a/BigGAN/000649.jpg,1,BigGAN,0.4382266661326056,0.10676914088446889,0.3205073693577187,0.5769398696816951,0.2564325003239764,1
data/aigc_stage_a/BigGAN/000683.jpg,1,BigGAN,0.6785671672456834,0.07949588120549944,0.5809159932207115,0.7901305958543825,0.20921460263367098,0
data/aigc_stage_a/DALLE2/000007.jpg,1,DALLE2,0.627846340940608,0.05831954473280647,0.5450385494949349,0.6941388242478383,0.14910027475290344,0
data/aigc_stage_a/DALLE2/000177.jpg,1,DALLE2,0.4414812680353547,0.0851091319856237,0.355491558911032,0.5819790315097504,0.22648747259871838,1
data/aigc_stage_a/DALLE2/000619.jpg,1,DALLE2,0.7854153826991906,0.05422331287318345,0.6927476957981873,0.8296389385293585,0.13689124273117126,0
data/aigc_stage_a/DALLE2/000653.jpg,1,DALLE2,0.9985154713260227,0.000871120931662089,0.9975910413353587,0.9997571451093199,0.0021661037739612032,0
data/aigc_stage_a/DALLE2/000687.jpg,1,DALLE2,0.9428489974937669,0.027500774370722653,0.9034244735560475,0.9699936184827134,0.06656914492666588,0
data/aigc_stage_a/GLIDE/000011.jpg,1,GLIDE,0.9663519404387021,0.010008252915507844,0.9510935616055786,0.9779641492041324,0.026870587598553874,0
data/aigc_stage_a/GLIDE/000181.jpg,1,GLIDE,0.337068305522815,0.07633949206909041,0.2465116175473397,0.4540731687691344,0.2075615512217947,0
data/aigc_stage_a/GLIDE/000623.jpg,1,GLIDE,0.9636250438007483,0.0098289008157684,0.9465853116713486,0.9705517707514026,0.023966459080054014,0
data/aigc_stage_a/GLIDE/000657.jpg,1,GLIDE,0.9974889874874385,0.0004528320814734979,0.9968650472328923,0.9978416800956372,0.0009766328627449639,0
data/aigc_stage_a/GLIDE/000691.jpg,1,GLIDE,0.9831562749586757,0.0035844065511797963,0.9794864615239374,0.9884114230961905,0.008924961572253087,0
data/aigc_stage_a/Midjourney/000013.jpg,1,Midjourney,0.9414097263370937,0.0080355279025375,0.9326573756616736,0.9498769021934409,0.017219526531767282,0
data/aigc_stage_a/Midjourney/000183.jpg,1,Midjourney,0.9771991236505505,0.008911858738347003,0.9660339428863524,0.9857677770039328,0.01973383411758045,0
data/aigc_stage_a/Midjourney/000625.jpg,1,Midjourney,0.9517970958259172,0.012636206764049808,0.9385533642539688,0.9727278339788795,0.03417446972491067,0
data/aigc_stage_a/Midjourney/000659.jpg,1,Midjourney,0.6460029634509723,0.08917522959258252,0.5522252799263033,0.7517623281911064,0.19953704826480312,0
data/aigc_stage_a/Midjourney/000693.jpg,1,Midjourney,0.8006072518990598,0.11376079895236721,0.6950301834833202,0.9577676640631037,0.2627374805797834,0
data/aigc_stage_a/SD14/000017.jpg,1,SD14,0.8892049740125024,0.019773777917462657,0.8576954360596761,0.9050346670758092,0.04733923101613302,0
