generator,content_id,label,curvature_observed,curvature_predicted_from_vae,curvature_residual_vs_vae
sd15,coco2014_COCO_val2014_000000313399,0,0.3887199141709382,0.33374955511732074,0.05497035905361747
sd15,coco2014_COCO_val2014_000000313399,1,0.2686494782636385,0.33198465759103285,-0.06333517932739435
sd15,coco2014_COCO_val2014_000000396676,0,0.3466124774259284,0.3678512327454727,-0.021238755319544333
sd15,coco2014_COCO_val2014_000000396676,1,0.3393703814229973,0.30514430126208897,0.034226080160908334
sd15,coco2014_COCO_val2014_000000068005,0,0.391341799637608,0.3592902877688674,0.03205151186874061
sd15,coco2014_COCO_val2014_000000068005,1,0.3852765287651848,0.38715458324733615,-0.0018780544821513367
sd15,coco2014_COCO_val2014_000000025138,0,0.39323441587200236,0.35725354071271653,0.03598087515928583
sd15,coco2014_COCO_val2014_000000025138,1,0.2898658419442499,0.3260689254492703,-0.036203083505020384
sd15,coco2014_COCO_val2014_000000087581,0,0.3431335134584437,0.3778467466708454,-0.03471323321240172
sd15,coco2014_COCO_val2014_000000087581,1,0.40596189115284786,0.38104103050053817,0.024920860652309695
sd15,coco2014_COCO_val2014_000000523517,0,0.3825520707473097,0.3888614345666277,-0.006309363819318015
sd15,coco2014_COCO_val2014_000000523517,1,0.34963864098622416,0.36130934149110444,-0.011670700504880283
sd15,coco2014_COCO_val2014_000000107839,0,0.2932638225934414,0.3174456952405882,-0.024181872647146774
sd15,coco2014_COCO_val2014_000000107839,1,0.3131193048831422,0.34571213151835584,-0.03259282663521362
sd15,coco2014_COCO_val2014_000000125997,0,0.34975979189142936,0.34310434433498127,0.006655447556448091
sd15,coco2014_COCO_val2014_000000125997,1,0.3670032406693682,0.340268763700937,0.026734476968431176
sd15,coco2014_COCO_val2014_000000304964,0,0.35829082337340373,0.3532555221390368,0.005035301234366907
sd15,coco2014_COCO_val2014_000000304964,1,0.37387315849683417,0.34155128169349663,0.032321876803337535
sd15,coco2014_COCO_val2014_000000474465,0,0.3610462242146956,0.38342621330730714,-0.02237998909261152
sd15,coco2014_COCO_val2014_000000474465,1,0.3360384081215838,0.33887857763126245,-0.002840169509678636
sd15,coco2014_COCO_val2014_000000214363,0,0.35841982700353764,0.351861543748953,0.006558283254584629
sd15,coco2014_COCO_val2014_000000214363,1,0.3128667628154381,0.3440083731374368,-0.03114161032199869
sd15,coco2014_COCO_val2014_000000207239,0,0.313120158460594,0.3514227328792071,-0.03830257441861312
sd15,coco2014_COCO_val2014_000000207239,1,0.34271802128706313,0.32000268060284864,0.02271534068421449
sd15,coco2014_COCO_val2014_000000552979,0,0.4218261929806056,0.3687815920490182,0.05304460093158736
sd15,coco2014_COCO_val2014_000000552979,1,0.3697710327417575,0.35601174204534436,0.013759290696413129
sd15,coco2014_COCO_val2014_000000482242,0,0.4049504888108307,0.36438749921364544,0.04056298959718524
sd15,coco2014_COCO_val2014_000000482242,1,0.3308306509666459,0.31002684879890763,0.02080380216773825
sd15,coco2014_COCO_val2014_000000061897,0,0.37467970522497396,0.3741046959042992,0.0005750093206747797
sd15,coco2014_COCO_val2014_000000061897,1,0.3404473587061505,0.36509566700867124,-0.02464830830252074
sd15,coco2014_COCO_val2014_000000263073,0,0.3238969400891511,0.3369351838830853,-0.013038243793934201
sd15,coco2014_COCO_val2014_000000263073,1,0.4288870245693353,0.4042415101057532,0.024645514463582097
sd15,coco2014_COCO_val2014_000000275751,0,0.36090868102633944,0.35172311368595166,0.009185567340387779
sd15,coco2014_COCO_val2014_000000275751,1,0.32985033897084404,0.3582145483636508,-0.02836420939280676
sd15,coco2014_COCO_val2014_000000112820,0,0.3691429071547499,0.3686013889605289,0.0005415181942209912
sd15,coco2014_COCO_val2014_000000112820,1,0.35941693490504406,0.3624266295068626,-0.0030096946018185466
sd15,coco2014_COCO_val2014_000000492271,0,0.3552646034481938,0.3618311324546507,-0.006566529006456878
sd15,coco2014_COCO_val2014_000000492271,1,0.33427533178421037,0.35289636359210597,-0.018621031807895594
sd15,coco2014_COCO_val2014_000000097967,0,0.34079913033315595,0.35995408964160347,-0.019154959308447517
sd15,coco2014_COCO_val2014_000000097967,1,0.2969792518226213,0.3247742671247999,-0.027795015302178594
sd15,coco2014_COCO_val2014_000000064779,0,0.34976655174014626,0.3450836149517377,0.0046829367884085316
sd15,coco2014_COCO_val2014_000000064779,1,0.3515089296135669,0.3615096365502922,-0.010000706936725334
sd15,coco2014_COCO_val2014_000000532983,0,0.3831958479636115,0.36494331189884,0.018252536064771507
sd15,coco2014_COCO_val2014_000000532983,1,0.35303326419045034,0.34503952252238745,0.007993741668062881
sd15,coco2014_COCO_val2014_000000454478,0,0.37776742037063643,0.36764576766728135,0.010121652703355077
sd15,coco2014_COCO_val2014_000000454478,1,0.3129780365688993,0.3151638024631902,-0.0021857658942909253
sd15,coco2014_COCO_val2014_000000241867,0,0.3430724746784484,0.3337873172258347,0.009285157452613713
sd15,coco2014_COCO_val2014_000000241867,1,0.3040203753800454,0.34460194645493397,-0.04058157107488858
sd15,coco2014_COCO_val2014_000000172279,0,0.3808673440221762,0.3770773053862053,0.0037900386359708826
sd15,coco2014_COCO_val2014_000000172279,1,0.3451263979392883,0.3766001184590046,-0.03147372051971631
sd15,coco2014_COCO_val2014_000000417373,0,0.3969136837250907,0.36091867831025176,0.035995005414838965
sd15,coco2014_COCO_val2014_000000417373,1,0.3223382346236323,0.32026724305180415,0.0020709915718281624
sd15,coco2014_COCO_val2014_000000249534,0,0.4058651460976169,0.3466104022539474,0.05925474384366952
sd15,coco2014_COCO_val2014_000000249534,1,0.37908097136518015,0.3289756864389172,0.05010528492626293
sd15,coco2014_COCO_val2014_000000078176,0,0.34597698740428984,0.33695513812082006,0.009021849283469774
sd15,coco2014_COCO_val2014_000000078176,1,0.33721117614691226,0.36461864096196756,-0.027407464815055294
sd15,coco2014_COCO_val2014_000000371529,0,0.357461897729871,0.3534005338921916,0.00406136383767941
sd15,coco2014_COCO_val2014_000000371529,1,0.2813134209078576,0.3271011441759448,-0.04578772326808722
sd15,coco2014_COCO_val2014_000000389869,0,0.3921226996471367,0.38546977385059916,0.006652925796537534
sd15,coco2014_COCO_val2014_000000389869,1,0.36729620308855626,0.3206182747094206,0.04667792837913565
sd15,coco2014_COCO_val2014_000000074591,0,0.4048120266577138,0.3847471458760082,0.020064880781705596
sd15,coco2014_COCO_val2014_000000074591,1,0.3114432351331876,0.3472017662088993,-0.0357585310757117
sd15,coco2014_COCO_val2014_000000468778,0,0.39628564580199516,0.366944963400773,0.029340682401222173
sd15,coco2014_COCO_val2014_000000468778,1,0.3728277948583994,0.360658651195553,0.012169143662846382
sd15,coco2014_COCO_val2014_000000218855,0,0.3709590992384939,0.3601660776310306,0.010793021607463316
sd15,coco2014_COCO_val2014_000000218855,1,0.3415571529361251,0.34686886880848966,-0.005311715872364564
sd15,coco2014_COCO_val2014_000000556130,0,0.344277384836023,0.3756849690180087,-0.03140758418198569
sd15,coco2014_COCO_val2014_000000556130,1,0.2884041605896407,0.3193365397596587,-0.03093237917001801
sd15,coco2014_COCO_val2014_000000040102,0,0.3757022273800722,0.4223546803470942,-0.04665245296702203
sd15,coco2014_COCO_val2014_000000040102,1,0.27880954363843236,0.3426493900856795,-0.06383984644724716
sd15,coco2014_COCO_val2014_000000341118,0,0.3261183369979882,0.32615138786394693,-3.305086595872808e-05
sd15,coco2014_COCO_val2014_000000341118,1,0.3332935997705617,0.31981660432201425,0.013476995448547469
sd15,coco2014_COCO_val2014_000000228722,0,0.3803242481672052,0.35071193499128034,0.029612313175924887
sd15,coco2014_COCO_val2014_000000228722,1,0.316010242701623,0.31964770816188387,-0.0036374654602608913
sd15,coco2014_COCO_val2014_000000579673,0,0.33363852679862316,0.3299494973464828,0.0036890294521403355
sd15,coco2014_COCO_val2014_000000579673,1,0.3404243282028261,0.35787635068216206,-0.01745202247933597
sd15,coco2014_COCO_val2014_000000508167,0,0.3077490259906033,0.29491655355972346,0.012832472430879815
sd15,coco2014_COCO_val2014_000000508167,1,0.29965093138844884,0.3242048465695444,-0.024553915181095565
sd15,coco2014_COCO_val2014_000000377427,0,0.38598435026640054,0.3635339866124454,0.02245036365395514
sd15,coco2014_COCO_val2014_000000377427,1,0.30733214363046124,0.33686069195817797,-0.02952854832771673
sd15,coco2014_COCO_val2014_000000293452,0,0.37444781446258923,0.3829752412084121,-0.008527426745822853
sd15,coco2014_COCO_val2014_000000293452,1,0.3967951747408345,0.3997036013576204,-0.0029084266167859196
sd15,coco2014_COCO_val2014_000000176606,0,0.381856726486423,0.39371873561710713,-0.011862009130684137
sd15,coco2014_COCO_val2014_000000176606,1,0.3762520507250344,0.38761826270192634,-0.011366211976891916
sd15,coco2014_COCO_val2014_000000158250,0,0.3293024318627667,0.3426479879276056,-0.013345556064838893
sd15,coco2014_COCO_val2014_000000158250,1,0.3920203198516068,0.3634247516491554,0.028595568202451405
sd15,coco2014_COCO_val2014_000000194780,0,0.3778176050037016,0.33373715421956224,0.04408045078413936
sd15,coco2014_COCO_val2014_000000194780,1,0.2711989381670354,0.3196104934649319,-0.048411555297896536
sd15,coco2014_COCO_val2014_000000389308,0,0.36643826217051234,0.34273047193922984,0.0237077902312825
sd15,coco2014_COCO_val2014_000000389308,1,0.2855812868402883,0.3333313625791091,-0.04775007573882084
sd15,coco2014_COCO_val2014_000000172553,0,0.3147702659611481,0.33809964513516133,-0.02332937917401323
sd15,coco2014_COCO_val2014_000000172553,1,0.41366895437950957,0.37760999291934866,0.03605896146016091
sd15,coco2014_COCO_val2014_000000500316,0,0.3725785667391021,0.39060413585717496,-0.01802556911807285
sd15,coco2014_COCO_val2014_000000500316,1,0.3584632798686656,0.3633092958187449,-0.004846015950079274
sd15,coco2014_COCO_val2014_000000438505,0,0.37367556472158703,0.34989948898752116,0.02377607573406587
sd15,coco2014_COCO_val2014_000000438505,1,0.35421262682130045,0.3424638922490245,0.011748734572275932
