generator,content_id,label,s_vae_oof_mean,curvature_predicted_from_svae,curvature_residual_vs_svae
sd15,coco2014_COCO_val2014_000000313399,0,0.5646353370747178,0.3374119061421716,0.051308008028766616
sd15,coco2014_COCO_val2014_000000313399,1,0.5650039298761743,0.33729932178895294,-0.06864984352531445
sd15,coco2014_COCO_val2014_000000396676,0,0.43864158823128435,0.3643204764307494,-0.017707999004821007
sd15,coco2014_COCO_val2014_000000396676,1,0.7419247332342899,0.297152109092743,0.042218272330254325
sd15,coco2014_COCO_val2014_000000068005,0,0.46044234247243887,0.3613893092332342,0.02995249040437381
sd15,coco2014_COCO_val2014_000000068005,1,0.33964088044280427,0.3879467423333511,-0.0026702135681662686
sd15,coco2014_COCO_val2014_000000025138,0,0.4875175461517537,0.3553744384162372,0.03785997745576514
sd15,coco2014_COCO_val2014_000000025138,1,0.5964340607216504,0.3321849628333709,-0.04231912088912099
sd15,coco2014_COCO_val2014_000000087581,0,0.3964896597183984,0.373565712961334,-0.030432199502890334
sd15,coco2014_COCO_val2014_000000087581,1,0.37354584409425573,0.37810781532778337,0.027854075825064495
sd15,coco2014_COCO_val2014_000000523517,0,0.35470870182267367,0.383450257356183,-0.0008981866088733081
sd15,coco2014_COCO_val2014_000000523517,1,0.46775119535360854,0.358943063328227,-0.00930442234200285
sd15,coco2014_COCO_val2014_000000107839,0,0.6639933812644889,0.31665058086173936,-0.023386758268297947
sd15,coco2014_COCO_val2014_000000107839,1,0.5485950773514077,0.3417590293555925,-0.02863972447245028
sd15,coco2014_COCO_val2014_000000125997,0,0.5306442276097227,0.3442050204697483,0.005554771421681037
sd15,coco2014_COCO_val2014_000000125997,1,0.572384158565135,0.3350708237896217,0.03193241687974646
sd15,coco2014_COCO_val2014_000000304964,0,0.4980038633949272,0.3522590052090804,0.006031818164323355
sd15,coco2014_COCO_val2014_000000304964,1,0.5319090096030603,0.3452783875756269,0.02859477092120727
sd15,coco2014_COCO_val2014_000000474465,0,0.41233079714207443,0.36966986949835345,-0.008623645283657833
sd15,coco2014_COCO_val2014_000000474465,1,0.5491460965870532,0.3411752795871234,-0.005136871465539594
sd15,coco2014_COCO_val2014_000000214363,0,0.515294368312491,0.3481703033704576,0.010249523633080015
sd15,coco2014_COCO_val2014_000000214363,1,0.5488550794162876,0.3411416966343402,-0.02827493381890206
sd15,coco2014_COCO_val2014_000000207239,0,0.48484309621423105,0.35553338147257607,-0.04241322301198208
sd15,coco2014_COCO_val2014_000000207239,1,0.5932324255950414,0.3321668429448151,0.010551178342248058
sd15,coco2014_COCO_val2014_000000552979,0,0.4253144334933935,0.36662577069531793,0.055200422285287654
sd15,coco2014_COCO_val2014_000000552979,1,0.5102342953864976,0.348908947284755,0.020862085457002466
sd15,coco2014_COCO_val2014_000000482242,0,0.4358794100877522,0.3639814195646412,0.04096906924618948
sd15,coco2014_COCO_val2014_000000482242,1,0.6219392934519421,0.32652351149834924,0.004307139468296639
sd15,coco2014_COCO_val2014_000000061897,0,0.40973859705181415,0.370491121847966,0.004188583377007948
sd15,coco2014_COCO_val2014_000000061897,1,0.4398715880986243,0.3641118218606859,-0.02366446315453541
sd15,coco2014_COCO_val2014_000000263073,0,0.5973742919939407,0.3298175127190276,-0.005920572629876497
sd15,coco2014_COCO_val2014_000000263073,1,0.22510807755980058,0.4111955546813232,0.017691469888012124
sd15,coco2014_COCO_val2014_000000275751,0,0.49888170933119225,0.3516796017975664,0.00922907922877303
sd15,coco2014_COCO_val2014_000000275751,1,0.4653101070586415,0.35884039668952084,-0.028990057718676798
sd15,coco2014_COCO_val2014_000000112820,0,0.4314026716470963,0.36594795900337235,0.0031949481513775524
sd15,coco2014_COCO_val2014_000000112820,1,0.4472889680964195,0.3625598419956617,-0.0031429070906176526
sd15,coco2014_COCO_val2014_000000492271,0,0.45570496372889135,0.3617535968717216,-0.006488993423527767
sd15,coco2014_COCO_val2014_000000492271,1,0.4528798674408474,0.3622188066863946,-0.02794347490218424
sd15,coco2014_COCO_val2014_000000097967,0,0.4562165881914152,0.3606674583393749,-0.01986832800621896
sd15,coco2014_COCO_val2014_000000097967,1,0.5875437824683815,0.33320731174455726,-0.03622805992193595
sd15,coco2014_COCO_val2014_000000064779,0,0.49616356115212135,0.3528525423965,-0.003085990656353732
sd15,coco2014_COCO_val2014_000000064779,1,0.4316909975757711,0.3665825796500945,-0.015073650036527608
sd15,coco2014_COCO_val2014_000000532983,0,0.4310474057533035,0.36535947894112414,0.017836369022487364
sd15,coco2014_COCO_val2014_000000532983,1,0.5097459983725666,0.34890925913336435,0.004124005057085989
sd15,coco2014_COCO_val2014_000000454478,0,0.4353529935811745,0.365424917188337,0.012342503182299458
sd15,coco2014_COCO_val2014_000000454478,1,0.6004608825879314,0.33126765259326674,-0.01828961602436746
sd15,coco2014_COCO_val2014_000000241867,0,0.593191951714603,0.33041892085093383,0.012653553827514596
sd15,coco2014_COCO_val2014_000000241867,1,0.5333743549681655,0.3436795296311701,-0.039659154251124706
sd15,coco2014_COCO_val2014_000000172279,0,0.3906771470887603,0.37464336462703585,0.0062239793951403555
sd15,coco2014_COCO_val2014_000000172279,1,0.40541156503880027,0.3716296225251667,-0.026503224585878393
sd15,coco2014_COCO_val2014_000000417373,0,0.4588371318172369,0.3598327544553115,0.03708092926977924
sd15,coco2014_COCO_val2014_000000417373,1,0.6604001211282041,0.31812443544828745,0.004213799175344868
sd15,coco2014_COCO_val2014_000000249534,0,0.4966627512550309,0.3517957450800679,0.054069401017549035
sd15,coco2014_COCO_val2014_000000249534,1,0.5729212828782027,0.3350829221571393,0.043998049208040846
sd15,coco2014_COCO_val2014_000000078176,0,0.5478829037219375,0.3411709541687438,0.0048060332355460145
sd15,coco2014_COCO_val2014_000000078176,1,0.40931723078262683,0.37085397551261384,-0.03364279936570158
sd15,coco2014_COCO_val2014_000000371529,0,0.48563248878259613,0.35418316671238725,0.0032787310174837714
sd15,coco2014_COCO_val2014_000000371529,1,0.5985785068615703,0.33076509561899076,-0.04945167471113315
sd15,coco2014_COCO_val2014_000000389869,0,0.35143675487116177,0.38425423884724413,0.007868460799892563
sd15,coco2014_COCO_val2014_000000389869,1,0.6761740550568053,0.311894589953024,0.05540161313553227
sd15,coco2014_COCO_val2014_000000074591,0,0.37367355715804984,0.37812885078020575,0.02668317587750807
sd15,coco2014_COCO_val2014_000000074591,1,0.5425247710579089,0.342808176097219,-0.03136494096403136
sd15,coco2014_COCO_val2014_000000468778,0,0.42910779657556297,0.3667438204495567,0.029541825352438433
sd15,coco2014_COCO_val2014_000000468778,1,0.45217676074923113,0.36186415165944946,0.010963643198949935
sd15,coco2014_COCO_val2014_000000218855,0,0.4588668495049587,0.36011580394071496,0.010843295297778943
sd15,coco2014_COCO_val2014_000000218855,1,0.5151173581195729,0.34812190222588163,-0.006564749289756533
sd15,coco2014_COCO_val2014_000000556130,0,0.40538630478800536,0.37185860913287094,-0.02758122429684795
sd15,coco2014_COCO_val2014_000000556130,1,0.6155080198041706,0.32747987024804737,-0.03907570965840668
sd15,coco2014_COCO_val2014_000000040102,0,0.2532798326601673,0.40783582278468666,-0.03213359540461447
sd15,coco2014_COCO_val2014_000000040102,1,0.5163143111235124,0.3487531548878285,-0.06994361124939613
sd15,coco2014_COCO_val2014_000000341118,0,0.7020737701329498,0.307151258910194,0.018967078087794187
sd15,coco2014_COCO_val2014_000000341118,1,0.586584030527322,0.3320344725059591,0.0012591272646026441
sd15,coco2014_COCO_val2014_000000228722,0,0.49890925683314524,0.3516149440945121,0.02870930407269312
sd15,coco2014_COCO_val2014_000000228722,1,0.5991938060524499,0.32998302063776475,-0.013972777936141767
sd15,coco2014_COCO_val2014_000000579673,0,0.5942471873552645,0.3307328832151171,0.0029056435835060346
sd15,coco2014_COCO_val2014_000000579673,1,0.4646681158415393,0.35875194150675765,-0.018327613303931567
sd15,coco2014_COCO_val2014_000000508167,0,0.7688328520923094,0.2935714468122557,0.014177579178347555
sd15,coco2014_COCO_val2014_000000508167,1,0.6008251930524788,0.32919073811738314,-0.029539806728934304
sd15,coco2014_COCO_val2014_000000377427,0,0.44040661090240096,0.36365400916697027,0.022330341099430273
sd15,coco2014_COCO_val2014_000000377427,1,0.5532714418267405,0.3408027328505155,-0.03347058922005425
sd15,coco2014_COCO_val2014_000000293452,0,0.3498429112425515,0.3853224325463644,-0.010874618083775156
sd15,coco2014_COCO_val2014_000000293452,1,0.2862897301988253,0.3996298879499789,-0.0028347132091444127
sd15,coco2014_COCO_val2014_000000176606,0,0.3073186713649495,0.3959256441416067,-0.0140689176551837
sd15,coco2014_COCO_val2014_000000176606,1,0.338757006522419,0.38883372161961016,-0.012581670894575736
sd15,coco2014_COCO_val2014_000000158250,0,0.537125743757431,0.3436707685763315,-0.0143683367135648
sd15,coco2014_COCO_val2014_000000158250,1,0.44794012355549306,0.362864540855539,0.029155778996067805
sd15,coco2014_COCO_val2014_000000194780,0,0.576951707079804,0.3350004970718654,0.042817107931836185
sd15,coco2014_COCO_val2014_000000194780,1,0.650008530177123,0.3196267429672289,-0.04842780480019354
sd15,coco2014_COCO_val2014_000000389308,0,0.5308032222158461,0.34453192057333537,0.02190634159717697
sd15,coco2014_COCO_val2014_000000389308,1,0.5981310644896155,0.3301910093922531,-0.044609722551964825
sd15,coco2014_COCO_val2014_000000172553,0,0.553041924280669,0.3394379006017919,-0.02466763464064381
sd15,coco2014_COCO_val2014_000000172553,1,0.3817285590546849,0.3765634908351971,0.03710546354431249
