generator,content_id,label,s_vae_oof_mean
sd15,coco2014_COCO_val2014_000000313399,0,0.5646353370747178
sd15,coco2014_COCO_val2014_000000313399,1,0.5650039298761743
sd15,coco2014_COCO_val2014_000000396676,0,0.43864158823128435
sd15,coco2014_COCO_val2014_000000396676,1,0.7419247332342899
sd15,coco2014_COCO_val2014_000000068005,0,0.46044234247243887
sd15,coco2014_COCO_val2014_000000068005,1,0.33964088044280427
sd15,coco2014_COCO_val2014_000000025138,0,0.4875175461517537
sd15,coco2014_COCO_val2014_000000025138,1,0.5964340607216504
sd15,coco2014_COCO_val2014_000000087581,0,0.3964896597183984
sd15,coco2014_COCO_val2014_000000087581,1,0.37354584409425573
sd15,coco2014_COCO_val2014_000000523517,0,0.35470870182267367
sd15,coco2014_COCO_val2014_000000523517,1,0.46775119535360854
sd15,coco2014_COCO_val2014_000000107839,0,0.6639933812644889
sd15,coco2014_COCO_val2014_000000107839,1,0.5485950773514077
sd15,coco2014_COCO_val2014_000000125997,0,0.5306442276097227
sd15,coco2014_COCO_val2014_000000125997,1,0.572384158565135
sd15,coco2014_COCO_val2014_000000304964,0,0.4980038633949272
sd15,coco2014_COCO_val2014_000000304964,1,0.5319090096030603
sd15,coco2014_COCO_val2014_000000474465,0,0.41233079714207443
sd15,coco2014_COCO_val2014_000000474465,1,0.5491460965870532
sd15,coco2014_COCO_val2014_000000214363,0,0.515294368312491
sd15,coco2014_COCO_val2014_000000214363,1,0.5488550794162876
sd15,coco2014_COCO_val2014_000000207239,0,0.48484309621423105
sd15,coco2014_COCO_val2014_000000207239,1,0.5932324255950414
sd15,coco2014_COCO_val2014_000000552979,0,0.4253144334933935
sd15,coco2014_COCO_val2014_000000552979,1,0.5102342953864976
sd15,coco2014_COCO_val2014_000000482242,0,0.4358794100877522
sd15,coco2014_COCO_val2014_000000482242,1,0.6219392934519421
sd15,coco2014_COCO_val2014_000000061897,0,0.40973859705181415
sd15,coco2014_COCO_val2014_000000061897,1,0.4398715880986243
sd15,coco2014_COCO_val2014_000000263073,0,0.5973742919939407
sd15,coco2014_COCO_val2014_000000263073,1,0.22510807755980058
sd15,coco2014_COCO_val2014_000000275751,0,0.49888170933119225
sd15,coco2014_COCO_val2014_000000275751,1,0.4653101070586415
sd15,coco2014_COCO_val2014_000000112820,0,0.4314026716470963
sd15,coco2014_COCO_val2014_000000112820,1,0.4472889680964195
sd15,coco2014_COCO_val2014_000000492271,0,0.45570496372889135
sd15,coco2014_COCO_val2014_000000492271,1,0.4528798674408474
sd15,coco2014_COCO_val2014_000000097967,0,0.4562165881914152
sd15,coco2014_COCO_val2014_000000097967,1,0.5875437824683815
sd15,coco2014_COCO_val2014_000000064779,0,0.49616356115212135
sd15,coco2014_COCO_val2014_000000064779,1,0.4316909975757711
sd15,coco2014_COCO_val2014_000000532983,0,0.4310474057533035
sd15,coco2014_COCO_val2014_000000532983,1,0.5097459983725666
sd15,coco2014_COCO_val2014_000000454478,0,0.4353529935811745
sd15,coco2014_COCO_val2014_000000454478,1,0.6004608825879314
sd15,coco2014_COCO_val2014_000000241867,0,0.593191951714603
sd15,coco2014_COCO_val2014_000000241867,1,0.5333743549681655
sd15,coco2014_COCO_val2014_000000172279,0,0.3906771470887603
sd15,coco2014_COCO_val2014_000000172279,1,0.40541156503880027
sd15,coco2014_COCO_val2014_000000417373,0,0.4588371318172369
sd15,coco2014_COCO_val2014_000000417373,1,0.6604001211282041
sd15,coco2014_COCO_val2014_000000249534,0,0.4966627512550309
sd15,coco2014_COCO_val2014_000000249534,1,0.5729212828782027
sd15,coco2014_COCO_val2014_000000078176,0,0.5478829037219375
sd15,coco2014_COCO_val2014_000000078176,1,0.40931723078262683
sd15,coco2014_COCO_val2014_000000371529,0,0.48563248878259613
sd15,coco2014_COCO_val2014_000000371529,1,0.5985785068615703
sd15,coco2014_COCO_val2014_000000389869,0,0.35143675487116177
sd15,coco2014_COCO_val2014_000000389869,1,0.6761740550568053
sd15,coco2014_COCO_val2014_000000074591,0,0.37367355715804984
sd15,coco2014_COCO_val2014_000000074591,1,0.5425247710579089
sd15,coco2014_COCO_val2014_000000468778,0,0.42910779657556297
sd15,coco2014_COCO_val2014_000000468778,1,0.45217676074923113
sd15,coco2014_COCO_val2014_000000218855,0,0.4588668495049587
sd15,coco2014_COCO_val2014_000000218855,1,0.5151173581195729
sd15,coco2014_COCO_val2014_000000556130,0,0.40538630478800536
sd15,coco2014_COCO_val2014_000000556130,1,0.6155080198041706
sd15,coco2014_COCO_val2014_000000040102,0,0.2532798326601673
sd15,coco2014_COCO_val2014_000000040102,1,0.5163143111235124
sd15,coco2014_COCO_val2014_000000341118,0,0.7020737701329498
sd15,coco2014_COCO_val2014_000000341118,1,0.586584030527322
sd15,coco2014_COCO_val2014_000000228722,0,0.49890925683314524
sd15,coco2014_COCO_val2014_000000228722,1,0.5991938060524499
sd15,coco2014_COCO_val2014_000000579673,0,0.5942471873552645
sd15,coco2014_COCO_val2014_000000579673,1,0.4646681158415393
sd15,coco2014_COCO_val2014_000000508167,0,0.7688328520923094
sd15,coco2014_COCO_val2014_000000508167,1,0.6008251930524788
sd15,coco2014_COCO_val2014_000000377427,0,0.44040661090240096
sd15,coco2014_COCO_val2014_000000377427,1,0.5532714418267405
sd15,coco2014_COCO_val2014_000000293452,0,0.3498429112425515
sd15,coco2014_COCO_val2014_000000293452,1,0.2862897301988253
sd15,coco2014_COCO_val2014_000000176606,0,0.3073186713649495
sd15,coco2014_COCO_val2014_000000176606,1,0.338757006522419
sd15,coco2014_COCO_val2014_000000158250,0,0.537125743757431
sd15,coco2014_COCO_val2014_000000158250,1,0.44794012355549306
sd15,coco2014_COCO_val2014_000000194780,0,0.576951707079804
sd15,coco2014_COCO_val2014_000000194780,1,0.650008530177123
sd15,coco2014_COCO_val2014_000000389308,0,0.5308032222158461
sd15,coco2014_COCO_val2014_000000389308,1,0.5981310644896155
sd15,coco2014_COCO_val2014_000000172553,0,0.553041924280669
sd15,coco2014_COCO_val2014_000000172553,1,0.3817285590546849
sd15,coco2014_COCO_val2014_000000500316,0,0.3372797263346528
sd15,coco2014_COCO_val2014_000000500316,1,0.43985843781251316
sd15,coco2014_COCO_val2014_000000438505,0,0.5025902515029996
sd15,coco2014_COCO_val2014_000000438505,1,0.5135689715168823
sd15,coco2014_COCO_val2014_000000079446,0,0.6251657870298455
sd15,coco2014_COCO_val2014_000000079446,1,0.6136157858029829
sd15,coco2014_COCO_val2014_000000279806,0,0.6361146041834964
sd15,coco2014_COCO_val2014_000000279806,1,0.4140198074007322
sd15,coco2014_COCO_val2014_000000289714,0,0.42410796903449144
sd15,coco2014_COCO_val2014_000000289714,1,0.652742844757952
sd15,coco2014_COCO_val2014_000000092624,0,0.20016554137188042
sd15,coco2014_COCO_val2014_000000092624,1,0.4688584282593425
sd15,coco2014_COCO_val2014_000000417339,0,0.44454744639234695
sd15,coco2014_COCO_val2014_000000417339,1,0.7937382460368425
sd15,coco2014_COCO_val2014_000000059532,0,0.3836414877047736
sd15,coco2014_COCO_val2014_000000059532,1,0.5310100062443287
sd15,coco2014_COCO_val2014_000000262576,0,0.5353139895457387
sd15,coco2014_COCO_val2014_000000262576,1,0.5534189571788966
sd15,coco2014_COCO_val2014_000000304305,0,0.48006678724294216
sd15,coco2014_COCO_val2014_000000304305,1,0.48491685149260233
sd15,coco2014_COCO_val2014_000000068257,0,0.48973973086320044
sd15,coco2014_COCO_val2014_000000068257,1,0.5900853766203534
sd15,coco2014_COCO_val2014_000000100510,0,0.49645453582164495
sd15,coco2014_COCO_val2014_000000100510,1,0.48287589504079226
sd15,coco2014_COCO_val2014_000000397628,0,0.5409897621089464
sd15,coco2014_COCO_val2014_000000397628,1,0.4473969364048237
sd15,coco2014_COCO_val2014_000000328818,0,0.39336629152792263
sd15,coco2014_COCO_val2014_000000328818,1,0.4905522372256458
sdxl,coco2014_COCO_val2014_000000313399,0,0.6205449421454813
sdxl,coco2014_COCO_val2014_000000396676,0,0.21836020752966628
sdxl,coco2014_COCO_val2014_000000068005,0,0.36393249770591496
sdxl,coco2014_COCO_val2014_000000025138,0,0.3806332828974829
sdxl,coco2014_COCO_val2014_000000087581,0,0.20491286571455558
sdxl,coco2014_COCO_val2014_000000523517,0,0.13335365797000348
sdxl,coco2014_COCO_val2014_000000107839,0,0.7719526387095573
sdxl,coco2014_COCO_val2014_000000125997,0,0.4973296978117089
sdxl,coco2014_COCO_val2014_000000304964,0,0.44065069105057003
sdxl,coco2014_COCO_val2014_000000474465,0,0.18159779335057796
sdxl,coco2014_COCO_val2014_000000214363,0,0.41364817660437564
sdxl,coco2014_COCO_val2014_000000207239,0,0.44911848167198276
sdxl,coco2014_COCO_val2014_000000552979,0,0.23697465455653025
sdxl,coco2014_COCO_val2014_000000482242,0,0.2461873219854172
sdxl,coco2014_COCO_val2014_000000061897,0,0.2129882004287343
sdxl,coco2014_COCO_val2014_000000263073,0,0.5980356379794076
sdxl,coco2014_COCO_val2014_000000275751,0,0.34771960619024045
sdxl,coco2014_COCO_val2014_000000112820,0,0.24244459949931096
sdxl,coco2014_COCO_val2014_000000492271,0,0.31169305365445016
sdxl,coco2014_COCO_val2014_000000097967,0,0.3380185017802029
sdxl,coco2014_COCO_val2014_000000064779,0,0.4306277783401738
sdxl,coco2014_COCO_val2014_000000532983,0,0.21498352423849632
sdxl,coco2014_COCO_val2014_000000454478,0,0.28639175171171793
sdxl,coco2014_COCO_val2014_000000241867,0,0.5704575887062983
sdxl,coco2014_COCO_val2014_000000172279,0,0.13231866818284319
sdxl,coco2014_COCO_val2014_000000417373,0,0.30406894699198206
sdxl,coco2014_COCO_val2014_000000249534,0,0.4731990023632521
sdxl,coco2014_COCO_val2014_000000078176,0,0.512363712450435
sdxl,coco2014_COCO_val2014_000000371529,0,0.4166032979109368
sdxl,coco2014_COCO_val2014_000000389869,0,0.13040138886018868
sdxl,coco2014_COCO_val2014_000000074591,0,0.1643186223129296
sdxl,coco2014_COCO_val2014_000000468778,0,0.2619082566209441
sdxl,coco2014_COCO_val2014_000000218855,0,0.3147886461194318
sdxl,coco2014_COCO_val2014_000000556130,0,0.1762184496307882
sdxl,coco2014_COCO_val2014_000000040102,0,0.026070451892478565
sdxl,coco2014_COCO_val2014_000000341118,0,0.7186693280180847
sdxl,coco2014_COCO_val2014_000000228722,0,0.3866409561452747
sdxl,coco2014_COCO_val2014_000000579673,0,0.6524004403598054
sdxl,coco2014_COCO_val2014_000000508167,0,0.9098331128675972
sdxl,coco2014_COCO_val2014_000000377427,0,0.2901421662635116
sdxl,coco2014_COCO_val2014_000000293452,0,0.154586845513954
sdxl,coco2014_COCO_val2014_000000176606,0,0.08648656016141527
sdxl,coco2014_COCO_val2014_000000158250,0,0.543277926600733
sdxl,coco2014_COCO_val2014_000000194780,0,0.634396496568846
sdxl,coco2014_COCO_val2014_000000389308,0,0.513816681681139
sdxl,coco2014_COCO_val2014_000000172553,0,0.518087036938494
sdxl,coco2014_COCO_val2014_000000500316,0,0.1273900459764252
sdxl,coco2014_COCO_val2014_000000438505,0,0.445603880744469
