path,label,content_id,mse256,mae256,mse512,mae512
data/content_matched/real/coco2014_COCO_val2014_000000313399.png,0,coco2014_COCO_val2014_000000313399,0.006155872251838446,0.04649271070957184,0.004152890760451555,0.03348921239376068
data/content_matched/amused/coco2014_COCO_val2014_000000313399.png,1,coco2014_COCO_val2014_000000313399,0.0013393930858001113,0.022044340148568153,0.001588664948940277,0.024199599400162697
data/content_matched/sd15/coco2014_COCO_val2014_000000313399.png,1,coco2014_COCO_val2014_000000313399,0.0019519967027008533,0.028622129932045937,0.000687422463670373,0.018734347075223923
data/content_matched/real/coco2014_COCO_val2014_000000396676.png,0,coco2014_COCO_val2014_000000396676,0.04036925733089447,0.11623161286115646,0.017284100875258446,0.07669264823198318
data/content_matched/amused/coco2014_COCO_val2014_000000396676.png,1,coco2014_COCO_val2014_000000396676,0.007553793489933014,0.044592756778001785,0.003669201396405697,0.032808396965265274
data/content_matched/sd15/coco2014_COCO_val2014_000000396676.png,1,coco2014_COCO_val2014_000000396676,0.01776726357638836,0.08704220503568649,0.0017732236301526427,0.029260223731398582
data/content_matched/real/coco2014_COCO_val2014_000000068005.png,0,coco2014_COCO_val2014_000000068005,0.0049729724414646626,0.04508577659726143,0.003333793254569173,0.03963818773627281
data/content_matched/amused/coco2014_COCO_val2014_000000068005.png,1,coco2014_COCO_val2014_000000068005,0.004416276700794697,0.03273483365774155,0.002531216712668538,0.027096277102828026
data/content_matched/sd15/coco2014_COCO_val2014_000000068005.png,1,coco2014_COCO_val2014_000000068005,0.019866017624735832,0.0921003445982933,0.00530010461807251,0.04834279417991638
data/content_matched/real/coco2014_COCO_val2014_000000025138.png,0,coco2014_COCO_val2014_000000025138,0.008211723528802395,0.06151551008224487,0.004327875096350908,0.0461367703974247
data/content_matched/amused/coco2014_COCO_val2014_000000025138.png,1,coco2014_COCO_val2014_000000025138,0.009805266745388508,0.046199459582567215,0.005283550824970007,0.035617951303720474
