tensor,content_id,paired_cosine
z,coco2014_COCO_val2014_000000025138,0.5400006675810617
z,coco2014_COCO_val2014_000000040102,0.6223245097145901
z,coco2014_COCO_val2014_000000059532,0.48350259622102565
z,coco2014_COCO_val2014_000000061897,0.515715190851965
z,coco2014_COCO_val2014_000000064779,0.5799440722769021
z,coco2014_COCO_val2014_000000068005,0.4689132129005624
z,coco2014_COCO_val2014_000000068257,0.5525246360440728
z,coco2014_COCO_val2014_000000074591,0.4746041721570645
z,coco2014_COCO_val2014_000000078176,0.5091807848475753
z,coco2014_COCO_val2014_000000079446,0.6000425881254061
z,coco2014_COCO_val2014_000000087581,0.41522208762375357
z,coco2014_COCO_val2014_000000092624,0.5428862293072931
z,coco2014_COCO_val2014_000000097967,0.5276075951267115
z,coco2014_COCO_val2014_000000100510,0.4502673084452704
z,coco2014_COCO_val2014_000000107839,0.418809882307508
z,coco2014_COCO_val2014_000000112820,0.471023826734539
z,coco2014_COCO_val2014_000000125997,0.5615576399940632
z,coco2014_COCO_val2014_000000158250,0.4513238591081533
z,coco2014_COCO_val2014_000000172279,0.47719254754524154
z,coco2014_COCO_val2014_000000172553,0.43976295101257
z,coco2014_COCO_val2014_000000176606,0.4656099817339774
z,coco2014_COCO_val2014_000000194780,0.506542365038742
z,coco2014_COCO_val2014_000000207239,0.45476444436764313
z,coco2014_COCO_val2014_000000214363,0.43597514383353453
z,coco2014_COCO_val2014_000000218855,0.41060731704681663
z,coco2014_COCO_val2014_000000228722,0.5080832333778005
z,coco2014_COCO_val2014_000000241867,0.46834961947262377
z,coco2014_COCO_val2014_000000249534,0.4572773474950121
z,coco2014_COCO_val2014_000000262576,0.5213770217014935
z,coco2014_COCO_val2014_000000263073,0.3980016003883899
z,coco2014_COCO_val2014_000000275751,0.5370449215204733
z,coco2014_COCO_val2014_000000279806,0.4684700843284798
z,coco2014_COCO_val2014_000000289714,0.5348334175609456
z,coco2014_COCO_val2014_000000293452,0.4243063577154485
z,coco2014_COCO_val2014_000000304305,0.5628312030869229
z,coco2014_COCO_val2014_000000304964,0.44702341006012514
z,coco2014_COCO_val2014_000000313399,0.5537973142201463
z,coco2014_COCO_val2014_000000328818,0.5373504945848269
z,coco2014_COCO_val2014_000000341118,0.46054646488054146
z,coco2014_COCO_val2014_000000371529,0.5463611232285969
z,coco2014_COCO_val2014_000000377427,0.5412612771203561
z,coco2014_COCO_val2014_000000389308,0.5609073914730672
z,coco2014_COCO_val2014_000000389869,0.46950324464750454
z,coco2014_COCO_val2014_000000396676,0.4877522442726054
z,coco2014_COCO_val2014_000000397628,0.5098855939127205
z,coco2014_COCO_val2014_000000417339,0.559760509050933
z,coco2014_COCO_val2014_000000417373,0.49362763666818193
z,coco2014_COCO_val2014_000000438505,0.42995711478376863
z,coco2014_COCO_val2014_000000454478,0.5033008306092013
z,coco2014_COCO_val2014_000000468778,0.4799250876792932
z,coco2014_COCO_val2014_000000474465,0.4967366054966303
z,coco2014_COCO_val2014_000000482242,0.4517289277559664
z,coco2014_COCO_val2014_000000492271,0.49259864747691423
z,coco2014_COCO_val2014_000000500316,0.46084951141951846
z,coco2014_COCO_val2014_000000508167,0.5275052275606904
z,coco2014_COCO_val2014_000000523517,0.4878886412252021
z,coco2014_COCO_val2014_000000532983,0.48615365429071256
z,coco2014_COCO_val2014_000000552979,0.5421625695344445
z,coco2014_COCO_val2014_000000556130,0.49716242559044227
z,coco2014_COCO_val2014_000000579673,0.5238915808702448
